vessel_IMO,vessel_DRAUGHT_min,vessel_DRAUGHT_mean,vessel_DRAUGHT_median,vessel_DRAUGHT_max,vessel_DRAUGHT_std
9031894,4.2,4.9772727272727275,5.4,5.6,0.5647855203373084
9044011,5.4,6.571428571428571,5.8,9.2,1.3924969009113157
9086734,9.1,9.2875,9.3,9.7,0.2031009601158987
9181120,6.4,9.110961737331955,8.9,11.8,2.134281897742505
9213117,0.8,9.473212593450564,9.9,14.5,1.6396347119413421
9243497,0.0,6.164009111617312,5.3,10.0,1.5479485201134295
9252448,0.0,8.356482457461226,8.5,21.4,1.57721843334297
9267027,7.5,10.629941291585126,12.0,12.4,2.047488080608192
9267857,4.2,7.041664556427788,8.4,9.1,1.9412464595094823
9321196,12.1,12.87142857142857,13.0,13.0,0.34016802570830473
9326770,10.6,12.137500000000001,12.3,13.4,1.0688524931785084
9333228,5.4,7.389130434782608,7.2,10.0,1.6725533721255936
9335886,0.0,10.58714953271028,10.0,21.0,4.602674010487899
9339935,4.3,6.8539146453791835,7.0,17.0,1.7569683236306504
9340752,7.5,11.709621115368243,11.7,12.7,0.8267211571730158
9465095,10.3,13.25,14.0,14.4,1.5382989424567757
9466520,7.5,9.816666666666666,9.6,12.5,1.5081153021920715
9490313,6.6,8.933333333333334,9.2,10.5,1.2414620695677498
9493896,6.7,11.45,13.2,14.4,2.6940954165958058
9542130,5.1,7.459999999999999,7.9,9.9,2.2662744758744475
9615145,5.0,7.6655059847660505,8.4,10.1,1.5936033835022296
9634907,7.0,8.24074074074074,9.0,9.0,0.88466024282804
9651747,3.8,4.9035714285714285,5.1,5.1,0.43310212729541503
9706061,6.0,8.446695095948828,8.4,12.5,1.322768695379751
9760304,0.0,8.190643585386576,8.3,10.5,1.177211738565368
9761944,8.4,10.03868335146899,9.3,13.8,1.886651908515029
9863807,5.2,11.738586326767091,13.0,13.6,2.7010320866876625
9873254,0.0,6.568571428571429,6.2,9.6,1.3609797557135401
9877626,7.5,8.573883161512027,8.9,10.1,0.8071694092736728
9910911,5.2,7.109913793103448,7.9,9.8,1.5686504279856457
