geohash_5,SPEED
t9955,11.0
t9957,10.7
t995k,12.5
t995m,10.7
t995u,12.7
t995x,12.7
t996c,10.6
t996j,10.7
t996m,10.5
t996p,10.6
t996t,12.0
t996z,13.0
t9976,13.0
t999r,10.65
t999s,10.3
t999x,12.0
t99bg,10.2
t99bw,10.5
t99c5,10.8
t99cg,13.1
t99cj,11.9
t99d0,10.2
t99d1,12.3
t99de,13.0
t99ee,11.0
t99eh,11.7
t99f8,11.7
t99fk,11.9
t99g2,12.0
t99g4,12.0
t99hy,11.8
t99j5,11.8
t99kh,11.0
t9b7b,11.6
t9b7x,11.7
t9b7y,11.2
t9bcz,10.6
t9bdu,10.3
t9be5,11.6
t9ben,11.7
t9bf3,10.4
t9bfj,10.4
t9bh1,10.2
t9bh3,11.5
t9bhj,11.8
t9bhr,11.4
t9c1r,10.8
t9c1z,11.5
t9c2z,10.5
t9c85,11.0
t9d03,10.5
t9d07,10.8
t9d08,10.7
t9d0v,11.2
t9d13,13.0
t9d19,12.3
t9d1k,12.1
t9d26,10.9
t9d2c,12.2
t9d2d,13.0
t9d2m,12.600000000000001
t9d2n,11.3
t9d3t,8.3
t9d49,12.0
t9d60,12.2
t9d84,12.5
t9d93,12.1
t9d9h,12.0
t9dbq,11.9
t9dpm,10.4
t9dpp,10.4
t9dqf,10.5
t9dsr,11.6
t9dtz,10.6
t9dvq,10.6
t9e9q,11.2
t9eef,10.4
t9eet,10.7
t9eg3,10.1
t9egh,10.0
t9es0,10.0
t9hxf,6.3
t9hzc,10.0
t9jpy,10.85
t9jqg,12.9
t9jr1,13.0
t9jrc,10.7
t9jrd,10.9
t9jrs,10.9
t9jry,10.7
t9jtf,13.0
t9jtt,13.0
t9jut,12.9
t9jx4,11.2
t9jxg,10.9
t9jxj,11.6
t9jye,12.0
t9jyr,12.0
t9jyz,13.6
t9jz6,13.4
t9jzb,10.4
t9jzc,12.6
t9jzg,10.4
t9jzw,12.6
t9jzy,10.3
t9k1d,10.2
t9k1n,10.1
t9k2d,9.7
t9k2j,9.8
t9k3f,11.3
t9k3s,11.3
t9k4n,11.0
t9k57,11.0
t9k59,12.9
t9k5h,10.8
t9k5k,12.6
t9k6b,11.3
t9k6g,12.2
t9k6j,12.1
t9k6y,12.7
t9k73,13.0
t9k8v,11.2
t9k94,11.1
t9k9e,12.6
t9k9q,12.6
t9kb9,10.8
t9kbc,12.9
t9kbp,13.2
t9kbq,11.0
t9kcg,12.8
t9kcx,13.7
t9kd9,12.2
t9kf1,13.0
t9kf4,13.6
t9kgh,11.7
t9kj6,12.1
t9kjj,11.9
t9kke,11.8
t9kkp,11.6
t9ks4,11.7
t9kzs,10.3
t9m03,10.7
t9m0z,13.8
t9m17,12.5
t9m29,13.9
t9m2f,12.3
t9m2k,13.6
t9m2x,12.4
t9m30,12.4
t9m3u,11.4
t9m3x,11.5
t9m4b,11.5
t9m4d,11.6
t9m4q,11.7
t9m8j,12.7
t9m9h,11.4
t9mbd,11.4
t9mbs,11.3
t9mj3,11.1
t9mmy,9.8
t9mnf,10.2
t9mnr,10.2
t9myw,13.1
t9mze,12.9
t9n5x,11.5
t9n6y,11.8
t9n7h,11.6
t9n8p,15.4
t9n9z,11.9
t9nb2,9.2
t9nbe,9.4
t9nbv,14.8
t9nck,11.3
t9nd9,11.9
t9nh5,11.2
t9nmb,12.0
t9nmt,12.2
t9nmu,13.6
t9nn9,13.5
t9nnh,12.1
t9nnq,13.0
t9np2,12.4
t9npj,12.3
t9npu,10.4
t9nqf,11.9
t9nqr,12.0
t9nrb,10.1
t9nrg,10.1
t9nrv,10.1
t9nt6,12.7
t9ntp,12.6
t9ntz,11.6
t9nue,12.1
t9nup,13.5
t9nus,13.6
t9nvg,12.1
t9nvr,11.6
t9nvt,11.6
t9nvx,12.3
t9nwc,11.6
t9nwj,11.6
t9nwq,11.9
t9nxc,11.3
t9nxq,13.1
t9nyq,13.3
t9nyt,13.2
t9nzb,9.8
t9nzf,9.6
t9nzv,9.5
t9p0b,11.3
t9p0j,10.9
t9p0k,10.9
t9p10,9.4
t9p13,14.8
t9p1e,9.4
t9p1s,15.1
t9p1y,9.4
t9p4p,8.4
t9p5v,14.0
t9p5z,11.6
t9p63,8.4
t9p66,15.2
t9p6e,9.5
t9p6v,11.7
t9p6z,10.1
t9p76,13.6
t9p7n,13.5
t9p7s,11.8
t9pb2,15.1
t9pb8,15.1
t9pcm,14.9
t9pcw,13.1
t9pdd,13.5
t9pe0,8.6
t9pe2,11.6
t9pe6,10.5
t9pe7,11.8
t9pee,14.9
t9pet,10.2
t9pev,8.6
t9pey,10.4
t9pez,13.3
t9pf1,13.1
t9pfu,12.2
t9pg0,12.4
t9pg6,12.95
t9pgd,11.8
t9pgf,12.9
t9pgg,10.3
t9pgm,11.4
t9pgn,12.5
t9pgv,14.35
t9pgx,17.0
t9pgy,14.3
t9ph2,11.7
t9phh,11.7
t9pj6,12.4
t9pjh,11.5
t9pju,13.4
t9pkb,12.3
t9pkc,11.2
t9pks,11.55
t9pkx,13.2
t9pm4,13.4
t9pmz,12.5
t9ppf,9.6
t9ppt,10.6
t9ppu,11.0
t9ppy,13.9
t9pqc,12.3
t9pqe,10.4
t9pqg,11.2
t9pqk,12.4
t9pqn,10.2
t9pqq,10.9
t9pqx,14.6
t9pqy,18.4
t9pqz,13.6
t9pr0,10.3
t9pr9,13.6
t9prb,14.0
t9prc,9.7
t9prd,16.5
t9prf,13.5
t9prg,13.0
t9prh,16.3
t9prj,14.4
t9prk,16.7
t9prn,9.5
t9prt,12.7
t9prv,9.0
t9ps3,11.7
t9ps5,12.0
t9ps6,13.2
t9psj,11.9
t9psp,9.8
t9psu,10.0
t9psv,12.8
t9pt5,12.8
t9pt6,10.0
t9ptc,11.2
t9ptf,13.8
t9ptg,14.3
t9ptj,11.3
t9ptp,16.05
t9pts,16.15
t9ptt,15.4
t9pu1,12.350000000000001
t9pu5,11.0
t9pu6,8.6
t9pu7,13.1
t9pu8,11.0
t9pud,17.0
t9puk,16.5
t9pux,13.5
t9puy,14.0
t9puz,11.6
t9pv3,14.9
t9pv5,14.2
t9pv6,13.75
t9pvm,9.8
t9pw1,16.6
t9pw2,16.1
t9pw9,13.4
t9pwb,11.45
t9pwc,14.9
t9pwd,9.7
t9pwj,11.8
t9pwn,13.5
t9px0,14.8
t9pxc,9.3
t9pxu,9.3
t9pxz,11.5
t9pyv,11.4
t9pyy,10.8
t9pzb,10.2
t9pzc,9.9
t9pze,11.1
t9pzf,9.2
t9pzk,10.55
t9pzn,9.8
t9pzy,10.7
t9q01,11.3
t9q2w,12.8
t9q37,11.0
t9q3g,12.6
t9q5m,9.9
t9q5w,12.2
t9q63,12.7
t9q6c,10.0
t9q6s,10.2
t9q7v,11.6
t9q8f,10.6
t9q9p,10.1
t9q9z,10.9
t9qbt,9.8
t9qbz,11.5
t9qc7,12.3
t9qcd,10.8
t9qcj,10.7
t9qcm,11.6
t9qcv,12.9
t9qcw,17.0
t9qcx,11.2
t9qcy,15.35
t9qdg,12.1
t9qdm,11.1
t9qdp,12.3
t9qe1,11.95
t9qe7,10.3
t9qeg,15.9
t9qej,10.6
t9qem,17.9
t9qen,12.6
t9qep,13.65
t9qes,16.5
t9qez,13.3
t9qf1,11.0
t9qf3,17.4
t9qf9,14.65
t9qfb,17.3
t9qfc,10.9
t9qfg,13.4
t9qfh,16.1
t9qfp,13.3
t9qft,13.5
t9qg5,14.1
t9qg6,13.2
t9qgb,13.2
t9qgy,10.1
t9qgz,14.1
t9qhg,12.5
t9qjb,13.1
t9qkg,11.8
t9qkk,12.4
t9qkx,15.4
t9qm4,11.9
t9qm9,11.9
t9qmd,17.4
t9qme,15.5
t9qmf,14.7
t9qmk,17.4
t9qmq,9.3
t9qmz,13.0
t9qnr,17.0
t9qnx,12.9
t9qp6,14.4
t9qp7,17.05
t9qpd,16.35
t9qph,13.1
t9qpm,12.4
t9qps,12.3
t9qq0,13.5
t9qq2,17.0
t9qqq,12.4
t9qqs,13.2
t9qqt,11.2
t9qqu,14.15
t9qr3,13.7
t9qr5,12.8
t9qr9,13.2
t9qrb,14.2
t9qrd,11.9
t9qrg,10.8
t9qrn,10.5
t9qs1,16.7
t9qs2,13.1
t9qs3,10.4
t9qsu,13.3
t9qsx,14.3
t9qt5,12.4
t9qt7,14.5
t9qtb,14.2
t9qtd,12.45
t9qte,13.6
t9qtj,12.5
t9qtr,9.8
t9qtx,9.4
t9qty,9.75
t9qtz,11.4
t9qu0,14.4
t9qu7,9.9
t9qu8,12.2
t9qud,9.8
t9qur,10.1
t9qut,10.0
t9quu,9.95
t9quv,9.1
t9qv4,10.25
t9qv5,9.0
t9qv6,9.9
t9qv8,9.3
t9qv9,10.2
t9qvs,11.0
t9qw0,14.1
t9qwh,10.0
t9qwk,10.2
t9qwm,9.5
t9qwn,11.4
t9qwr,10.4
t9qws,10.6
t9qwv,10.9
t9qwx,10.4
t9qx1,10.7
t9qx6,10.0
t9qx9,11.6
t9qxb,10.1
t9qxh,10.0
t9qxj,10.4
t9qy1,10.2
t9qy2,11.1
t9r02,11.45
t9r0d,11.6
t9r0f,12.9
t9r0g,16.3
t9r0p,16.35
t9r0q,17.1
t9r0s,12.350000000000001
t9r0u,13.2
t9r0w,13.5
t9r11,16.55
t9r14,15.4
t9r19,13.45
t9r3t,11.7
t9r3x,10.95
t9r4v,11.2
t9r4z,10.5
t9r54,10.4
t9r58,12.5
t9r5c,12.2
t9r5e,9.9
t9r5k,9.850000000000001
t9r5m,10.5
t9r5p,12.5
t9r5q,14.0
t9r64,11.6
t9r66,11.1
t9r67,10.1
t9r69,9.7
t9r6b,10.2
t9r6g,12.1
t9r6h,9.8
t9r6q,10.6
t9r6r,12.2
t9r6y,13.9
t9r75,10.4
t9r78,10.2
t9r79,8.3
t9r7k,9.0
t9r7m,10.8
t9r7s,10.7
t9r8g,10.4
t9r8j,11.8
t9r8p,10.6
t9r8s,10.9
t9r8t,9.850000000000001
t9r90,11.6
t9r92,9.7
t9r94,11.4
t9r98,10.5
t9r9c,10.6
t9rb0,9.1
t9rb9,10.9
t9rbh,10.8
t9rcg,8.8
t9rck,13.1
t9rcv,12.3
t9rcw,9.1
t9rcx,11.0
t9rdf,10.9
t9rdj,12.8
t9rdk,13.3
t9rds,9.7
t9rdt,10.8
t9re0,9.6
t9rf0,11.2
t9rfv,8.3
t9rh0,10.55
t9rh8,9.649999999999999
t9rh9,10.8
t9rhd,10.2
t9rhk,9.2
t9rhn,10.5
t9rhp,8.5
t9rzy,10.8
t9s02,10.9
t9s3c,9.5
t9s3d,9.6
t9s4h,9.8
t9t7z,13.2
t9t9v,12.7
t9tbb,12.8
t9tbp,14.6
t9tbw,16.85
t9tby,13.1
t9tcg,15.5
t9tcj,15.850000000000001
t9tcs,17.1
t9tcu,13.3
t9tcz,12.4
t9tdf,12.8
t9tex,16.85
t9tez,14.05
t9tf5,17.4
t9tf6,14.2
t9tf7,16.6
t9tfn,12.9
t9tfv,11.7
t9tfx,10.2
t9tfz,11.5
t9tg1,15.5
t9tg2,15.5
t9tg5,12.8
t9tgf,12.25
t9tgk,11.7
t9tgn,12.3
t9tgt,12.4
t9tgv,12.6
t9tkp,13.2
t9tmh,13.3
t9tpu,13.2
t9tq2,13.2
t9tsq,17.1
t9tst,15.3
t9tte,13.3
t9ttf,15.3
t9tth,15.700000000000001
t9ttp,12.5
t9ttw,12.6
t9ttx,12.1
t9tty,13.3
t9tu3,13.1
t9tu7,11.3
t9tu8,12.0
t9tu9,12.4
t9tue,11.6
t9tuk,12.7
t9tv1,10.6
t9tv3,12.8
t9tv6,13.5
t9tv9,12.75
t9tvm,11.8
t9tvu,11.5
t9tvx,10.45
t9tw4,17.1
t9tw6,15.9
t9tw9,15.6
t9twd,16.7
t9twj,12.4
t9twp,10.1
t9tws,12.3
t9twu,12.6
t9twx,11.8
t9tx1,13.5
t9tx3,15.0
t9txb,16.6
t9txd,12.6
t9txe,12.7
t9txf,12.3
t9txh,13.2
t9txj,11.9
t9txm,13.3
t9txn,12.8
t9txr,11.6
t9txs,13.2
t9txt,11.9
t9ty0,12.5
t9ty3,11.6
t9tyn,10.2
t9tyt,10.3
t9tyy,10.6
t9tyz,10.5
t9tz5,9.8
t9tzd,9.4
t9tzf,10.0
t9tzh,10.1
t9tzp,10.3
t9tzt,10.9
t9ucy,13.6
t9uft,13.3
t9ugd,12.8
t9uru,12.4
t9utj,12.5
t9uw5,12.4
t9ux0,12.5
t9uzw,16.2
t9uzy,15.9
t9v0c,13.4
t9v2n,17.0
t9v2q,16.3
t9v2r,14.8
t9v2t,16.15
t9v2x,16.0
t9v37,15.2
t9v3h,15.9
t9v3n,16.8
t9v3p,12.5
t9v3t,14.45
t9v3w,11.5
t9v3x,12.5
t9v5r,15.2
t9v5y,16.25
t9v64,16.1
t9v6e,17.1
t9v6g,13.0
t9v6k,11.6
t9v6n,12.3
t9v6p,11.6
t9v6r,12.8
t9v6w,9.5
t9v70,16.5
t9v76,11.7
t9v77,15.2
t9v7d,17.1
t9v7e,11.5
t9v7f,11.9
t9v7g,12.4
t9v7h,11.6
t9v7j,13.5
t9v7n,12.9
t9v7y,11.5
t9v7z,11.5
t9v85,11.649999999999999
t9v87,13.3
t9v89,12.6
t9v8b,11.9
t9v8e,12.3
t9v8k,12.1
t9v90,9.8
t9v91,13.0
t9v93,13.0
t9v96,11.4
t9v97,12.0
t9v9n,9.5
t9vb2,9.8
t9vbb,10.1
t9vbe,10.7
t9vbh,10.350000000000001
t9vbj,10.0
t9vbk,10.2
t9vbu,10.7
t9vc6,10.0
t9vcd,10.7
t9vcf,10.4
t9vd1,11.3
t9vdc,11.8
t9vdj,10.1
t9vdk,9.4
t9ve3,9.4
t9ve5,10.9
t9vec,11.1
t9vep,10.0
t9ver,9.7
t9vf1,10.75
t9vhs,15.2
t9vj7,16.1
t9vjd,15.5
t9vjh,16.4
t9vjq,11.4
t9vjr,12.9
t9vjx,12.4
t9vk1,13.3
t9vk4,13.5
t9vk6,12.3
t9vk9,11.9
t9vkb,13.0
t9vkp,9.5
t9vks,12.9
t9vkw,10.5
t9vkz,11.0
t9vm0,13.6
t9vm2,11.5
t9vm4,12.7
t9vm9,11.7
t9vme,13.2
t9vmk,11.5
t9vmq,10.8
t9vms,9.2
t9vn3,16.1
t9vn9,15.850000000000001
t9vnj,17.0
t9vnm,11.0
t9vnu,13.3
t9vnv,13.8
t9vp5,11.5
t9vp7,11.5
t9vpc,11.6
t9vpe,12.9
t9vpf,13.8
t9vpx,9.6
t9vpz,12.3
t9vq3,12.7
t9vq6,9.4
t9vq8,12.3
t9vq9,13.4
t9vqc,9.9
t9vqe,11.5
t9vqh,11.4
t9vr8,11.7
t9vrz,9.850000000000001
t9vsj,9.9
t9vss,10.5
t9vte,10.35
t9vtf,10.45
t9vth,9.7
t9vw4,9.8
t9vwc,9.95
t9vx0,10.5
t9w05,11.7
t9w0c,13.2
t9w0h,12.7
t9w0m,13.7
t9w0n,10.6
t9w0q,11.15
t9w0t,11.0
t9w0u,10.1
t9w11,12.100000000000001
t9w12,12.6
t9w16,13.1
t9w17,14.8
t9w18,11.6
t9w19,11.3
t9w1c,11.25
t9w1d,9.8
t9w1h,9.5
t9w1x,11.6
t9w24,11.1
t9w2n,11.2
t9w2q,10.7
t9w2s,11.2
t9w2v,11.5
t9w2x,10.3
t9w37,10.3
t9w3c,11.7
t9w3d,10.4
t9w3g,10.649999999999999
t9w3j,11.1
t9w3n,10.6
t9w3t,11.7
t9w40,13.85
t9w42,10.1
t9w4n,11.7
t9w4r,10.3
t9w4v,10.9
t9w4x,11.25
t9w5f,12.1
t9w5g,11.6
t9w5j,10.3
t9w5p,10.3
t9w5w,10.1
t9w69,10.6
t9w80,11.0
t9w81,10.1
t9w83,10.5
t9wh5,10.2
t9wh6,11.5
t9whf,10.5
t9whh,10.3
t9wj7,10.6
t9wjc,10.5
t9wn4,10.7
t9x9c,
t9x9e,0.0
t9x9g,0.0
t9x9r,10.1
t9x9s,4.8
t9x9t,0.0
t9x9u,0.0
t9x9v,0.0
t9x9w,0.5
t9x9x,0.1
t9xbh,9.9
t9xbj,11.1
t9xc0,10.2
t9xc5,11.5
t9xc6,8.9
t9xc8,0.2
tb056,11.6
tb05m,12.0
tb07f,11.9
tb0h7,12.0
tb0kb,12.3
tb0kp,12.4
tb0mh,12.4
tb0ss,12.5
tb0sy,12.5
tb0t2,12.6
tb0v7,12.6
tb0wp,12.0
tb0y0,12.4
tb0yx,12.7
tb1j9,12.7
tb1ju,12.4
tb1ph,12.8
tb1pq,12.7
tb1q3,12.3
tb1qs,12.3
tb1wb,12.2
tb1xr,12.3
tb1zd,12.4
tb32p,12.0
tb3bc,12.4
tb3cq,12.9
tb606,12.6
tb60w,12.8
tb61u,12.3
tb61y,12.6
tb62b,13.0
tb63r,13.2
tb66t,1.7
tb66y,1.4
tb67n,1.5
tb69d,13.2
tb6dp,12.9
tb6e2,12.0
tb6ek,12.6
tb6f6,13.0
tb6fx,12.7
tb6g8,12.0
tb6gv,12.0
tb755,11.4
tb77d,11.9
tb77u,11.3
tb7h0,12.5
tb7hs,12.6
tb7m4,11.9
tb7re,11.0
tb7rq,11.0
tb7s0,11.3
tb7st,11.3
tb7tf,12.3
tb7uf,11.3
tb7vr,12.1
tb7vu,10.7
tb7vw,11.2
tb7wf,10.9
tb7wp,12.4
tb7x9,11.7
tb7xb,11.7
tb7yb,11.7
tb7yc,11.7
tb7ys,11.6
tb9pt,10.9
tb9qu,11.0
tb9r2,10.9
tb9rw,10.2
tb9tv,11.1
tb9ux,11.0
tb9v3,11.1
tb9vh,11.3
tb9vv,10.8
tb9w2,11.1
tb9wv,10.8
tb9wx,11.0
tb9x2,10.2
tbb49,11.0
tbb4w,10.9
tbb69,11.1
tbb7e,10.8
tbb7m,10.5
tbb9b,0.9
tbb9c,11.1
tbb9q,10.8
tbbbc,10.5
tbbbm,10.5
tbbcg,9.9
tbbd1,1.0
tbbd4,1.1
tbbd5,1.0
tbbdf,10.1
tbbdg,10.9
tbbdh,0.8
tbbdj,0.8
tbbdn,0.8
tbbdp,0.7
tbbds,9.9
tbben,10.9
tbbf0,0.7
tbbf1,10.0
tbbf2,0.9
tbbf3,0.9
tbbf6,0.9
tbbf7,1.15
tbbfe,1.3
tbbfs,1.2
tbbft,1.0
tbbfw,1.1
tbbfx,1.2
tbbg4,11.1
tbbgj,11.1
tbbhm,11.0
tbbn3,10.2
tbbne,10.6
tbbnx,10.4
tbbqg,9.9
tbbrp,9.7
tbbx4,9.5
tbbxd,10.4
tbbxg,13.4
tbbxk,12.3
tbbxm,10.2
tbbxq,11.9
tbbxr,14.7
tbbxw,13.1
tbbyv,15.3
tbbyz,12.6
tbbz1,10.0
tbbz5,18.9
tbbz8,9.3
tbbzc,12.5
tbbzd,9.1
tbbzh,12.5
tbbzm,9.9
tbbzq,12.2
tbbzr,14.5
tbbzu,14.3
tbbzv,8.9
tbbzy,11.9
tbc01,10.6
tbc0g,9.9
tbc11,10.1
tbc22,10.0
tbc4b,1.3
tbc4c,1.4
tbc54,1.25
tbc55,1.25
tbc57,11.0
tbc5h,1.4500000000000002
tbc5m,1.65
tbc5q,2.2
tbc5r,2.0
tbc5x,1.5
tbc78,1.45
tbc79,1.6
tbc7c,1.4
tbc7e,10.9
tbc7f,1.8
tbc7w,11.0
tbces,10.9
tbcgb,10.9
tbcgg,11.0
tbcgy,10.7
tbck5,1.6
tbckh,1.4
tbckm,1.75
tbckw,1.7
tbckz,1.8
tbcmc,12.8
tbcmu,18.7
tbcmv,13.0
tbcnb,14.7
tbcng,15.1
tbcnj,12.7
tbcnm,18.7
tbcns,13.0
tbcnu,15.1
tbcp3,11.5
tbcp6,12.8
tbcp7,10.2
tbcpk,12.1
tbcpp,14.0
tbcpr,10.5
tbcpu,11.4
tbcpv,11.6
tbcpw,15.9
tbcpx,12.2
tbcpz,11.9
tbcq9,12.6
tbcqb,14.7
tbcqe,12.6
tbcqf,15.0
tbcqt,14.5
tbcqy,17.0
tbcr0,16.4
tbcr2,10.4
tbcr6,10.6
tbcr8,14.7
tbcr9,11.5
tbcrh,13.8
tbcrk,9.6
tbcrr,8.7
tbcrs,14.25
tbcrt,11.1
tbcrx,13.0
tbcry,11.9
tbcrz,11.8
tbct0,2.3
tbct1,2.2
tbct3,2.4
tbct6,2.4
tbcte,2.3499999999999996
tbctu,2.5
tbcw5,18.0
tbcwc,14.4
tbcwe,15.2
tbcwf,12.5
tbcwh,13.2
tbcwq,2.0
tbcwr,2.1
tbcww,13.6
tbcx1,14.1
tbcx3,8.5
tbcx8,11.65
tbcx9,16.4
tbcxd,10.8
tbcxh,17.1
tbcxm,8.3
tbcxq,12.9
tbcxt,12.0
tbcxv,12.1
tbcxx,13.6
tbcy0,12.9
tbcy4,18.1
tbcy5,13.2
tbcy8,8.65
tbcyc,2.1
tbcyd,13.7
tbcyh,18.1
tbcyt,14.7
tbcz0,13.8
tbcz1,2.5
tbcz3,8.3
tbcz4,2.1
tbcz6,2.3
tbcz7,2.2
tbczd,11.4
tbcze,11.6
tbczf,11.6
tbczg,13.5
tbczh,14.1
tbczj,16.8
tbczk,8.8
tbczq,8.8
tbczs,6.85
tbczt,2.2
tbczv,2.2
tbczy,10.7
tbczz,15.1
tbd79,11.0
tbd7j,11.0
tbdcm,11.3
tbddb,11.4
tbddk,11.4
tbddn,11.3
tbddy,11.3
tbde8,11.4
tbdf7,11.5
tbdfj,11.6
tbdhh,11.0
tbdj2,11.0
tbdj5,11.1
tbdk2,10.8
tbdk6,10.8
tbe0m,11.0
tbe0p,11.0
tbe10,11.0
tbe19,11.6
tbe1j,11.6
tbfn2,13.850000000000001
tbfn7,17.9
tbfne,15.4
tbfnm,13.6
tbfnr,13.6
tbfp3,9.0
tbfp4,15.9
tbfpc,11.5
tbfpf,12.3
tbfpg,11.350000000000001
tbfpr,17.3
tbfpu,15.2
tbfpw,9.5
tbfpz,12.149999999999999
tbfq7,14.2
tbfqs,15.4
tbfqw,14.75
tbfqx,14.2
tbfr0,14.6
tbfr8,9.9
tbfrb,12.1
tbfrf,13.65
tbfrg,12.3
tbfrm,16.8
tbfru,15.1
tbfrv,11.6
tbfrw,9.9
tbfry,12.2
tbfs6,10.6
tbfs7,10.7
tbfu9,11.1
tbfut,11.1
tbfux,11.1
tbfwb,16.1
tbfwc,15.8
tbfwd,14.3
tbfwe,13.9
tbfwv,16.3
tbfww,13.6
tbfwy,14.2
tbfwz,16.1
tbfx1,15.1
tbfx9,10.2
tbfxe,16.4
tbfxf,12.4
tbfxj,14.7
tbfxw,11.7
tbfyu,13.6
tbfyy,14.1
tbfz5,15.1
tbfz8,11.7
tbfzd,16.8
tbfzj,16.8
tbghg,11.1
tbghz,10.6
tbgnf,13.8
tbgp1,16.15
tbgp5,15.8
tbgpb,12.0
tbgpc,12.1
tbgpg,16.1
tbgpj,16.6
tbgpp,14.899999999999999
tbgr2,16.7
tbgr4,16.1
tbgr5,13.899999999999999
tbgrb,11.8
tbgrc,16.0
tbgrf,12.2
tbgrk,15.5
tbgrr,16.6
tbgry,11.7
tbgx3,15.1
tbgx6,14.65
tbgx7,15.4
tbgxf,10.7
tbgxr,14.0
tbgxw,16.3
tbgxx,15.6
tbgxy,10.9
tbgz2,14.65
tbgz6,14.6
tbgze,15.3
tbgzs,16.6
tbgzt,13.1
tbgzx,16.3
tbj0h,12.4
tbj0w,12.6
tbj6p,12.6
tbj88,13.7
tbj9w,13.6
tbjb5,13.1
tbjeh,11.5
tbjf3,14.0
tbjgb,11.6
tbjgq,14.2
tbju4,11.5
tbjus,11.2
tbjxf,11.3
tbjxr,11.0
tbjyg,11.0
tbjyr,10.0
tbjyw,11.9
tbjz6,12.0
tbk7v,9.9
tbkcz,11.1
tbke6,10.0
tbkeh,10.3
tbker,12.0
tbkes,12.0
tbkf6,10.4
tbkf9,10.4
tbkfe,12.0
tbkhx,10.0
tbkj5,10.9
tbkjd,12.0
tbkje,12.3
tbkjv,12.4
tbkkc,12.1
tbkks,12.2
tbkp1,11.7
tbkp5,11.0
tbkq1,11.9
tbkqx,11.8
tbks0,12.2
tbkwu,12.1
tbkz3,11.2
tbkze,12.0
tbm1g,12.0
tbm1m,9.5
tbm1p,11.1
tbm1r,11.8
tbm2c,11.2
tbm2p,11.0
tbm2u,12.2
tbm41,7.7
tbn0u,12.9
tbn16,12.7
tbn2e,9.2
tbn4j,12.9
tbn4x,12.7
tbn64,13.0
tbn77,13.0
tbn7p,12.9
tbn98,9.5
tbne9,12.9
tbner,10.6
tbnev,11.6
tbnfv,11.3
tbng5,10.8
tbng8,11.149999999999999
tbnh5,14.1
tbnht,14.1
tbnjd,10.9
tbnju,10.9
tbnjw,11.0
tbnkw,10.5
tbnkx,10.0
tbnm2,11.5
tbnm3,11.2
tbnme,13.8
tbnn1,10.6
tbnn3,11.5
tbnn5,11.4
tbnq8,11.1
tbnqj,13.6
tbnrh,11.3
tbnrz,11.8
tbns0,12.5
tbns6,11.5
tbnsd,12.5
tbnsh,10.9
tbntx,12.5
tbnu5,10.0
tbnuv,9.5
tbnx5,13.1
tbnxz,13.4
tbny7,12.3
tbnyy,12.0
tbp1z,11.3
tbp39,11.4
tbp3h,11.3
tbp3j,11.3
tbp3p,11.4
tbp49,11.2
tbp4j,11.0
tbp88,11.3
tbp8j,11.4
tbp8k,11.5
tbp8n,11.6
tbp8p,11.4
tbpj2,9.5
tbpnu,13.3
tbppm,13.1
tbppp,9.2
tbq86,11.6
tbqcg,11.6
tbr0w,12.2
tbr18,13.0
tbr1f,13.0
tbr21,13.2
tbr2z,9.25
tbr4w,13.0
tbr54,12.0
tbr5y,11.7
tbr7e,13.1
tbr92,13.0
tbr99,12.7
tbrdx,9.8
tbrdz,9.6
tbre4,12.3
tbre7,12.2
tbrfb,12.7
tbrg0,12.7
tbrgd,9.7
tbrk0,12.0
tbrkg,12.5
tbrmx,12.5
tbrsg,13.1
tbrsp,12.3
tbruu,12.6
tbruw,10.3
tbrvb,13.4
tbrvq,12.7
tbrwm,12.5
tbry7,13.1
tbrz0,12.5
tbrze,12.8
tbs86,12.0
tbs8s,12.5
tbsc4,12.1
tbscm,11.0
tbt01,12.4
tbt1g,11.0
tbt29,12.2
tbt4p,12.0
tbt6s,11.7
tbt6v,12.0
tbt92,12.5
tbt93,12.5
tbt9w,12.5
tbtek,12.0
tbteq,12.0
tbtf5,13.0
tbtgg,12.0
tbujd,10.2
tbuje,10.0
tbup8,15.4
tbup9,14.6
tbupd,13.6
tbupt,16.3
tbupv,16.5
tbupy,15.100000000000001
tbupz,16.3
tburg,14.4
tburu,15.899999999999999
tburv,14.9
tbury,15.85
tbutb,10.5
tbutv,10.4
tbuxb,13.5
tbuxf,16.3
tbuy0,10.2
tbuyh,10.3
tbuzc,15.9
tbvyb,10.5
tbvzp,10.4
tbw48,12.7
tbw5n,12.5
tbw76,12.5
tbw7t,11.5
tbwec,12.2
tbwhe,11.0
tbwhz,12.0
tbwmk,12.1
tbwu9,11.8
tbwwh,12.1
tbwwj,12.3
tbwys,12.4
tbwyy,12.0
tbxbr,13.0
tbxj0,10.9
tbxjk,10.4
tbxjt,10.1
tbxmf,10.1
tbxp7,12.5
tbxpw,12.0
tbxqj,10.1
tbxw2,8.6
tbxwe,9.6
tbxz7,9.8
tbyp4,10.3
tbyr1,10.2
tbyze,10.4
tbyzx,10.6
tbz2n,11.0
tbzcw,12.2
tbzpc,10.6
tbzpv,10.5
tbzrc,10.5
tc012,13.0
tc01y,10.5
tc02t,10.85
tc02u,11.05
tc02v,15.4
tc02z,13.8
tc038,12.4
tc03d,13.3
tc03e,12.7
tc03h,16.7
tc03j,15.2
tc03k,13.5
