geohash_5,NAVSTAT,freq,rnk
mzsxs,0.0,1,1
mzsxv,0.0,1,1
mzsyn,0.0,1,1
mztp7,0.0,2,1
mztpy,0.0,1,1
mzu07,0.0,1,1
mzu1p,0.0,1,1
mzu3g,0.0,1,1
mzu41,0.0,1,1
mzu4k,0.0,1,1
mzu72,0.0,1,1
mzu7e,0.0,1,1
mzu8k,0.0,1,1
mzuc3,0.0,1,1
mzucq,0.0,1,1
mzudc,0.0,1,1
mzues,0.0,1,1
mzufj,0.0,1,1
mzukr,0.0,1,1
mzusp,0.0,1,1
mzut5,0.0,1,1
mzutz,0.0,1,1
mzuug,0.0,1,1
mzuye,0.0,1,1
mzv29,0.0,1,1
mzv41,0.0,1,1
mzv4s,0.0,1,1
mzv54,0.0,1,1
mzv5k,0.0,1,1
mzv79,0.0,1,1
mzvd3,0.0,1,1
mzvdg,0.0,1,1
mzvet,0.0,1,1
mzvjc,0.0,1,1
mzvk9,0.0,1,1
mzvkh,0.0,1,1
mzvm5,0.0,1,1
mzvnt,0.0,1,1
mzvp9,0.0,1,1
mzvr3,0.0,1,1
mzvrg,0.0,1,1
mzvtb,0.0,1,1
mzvtu,0.0,1,1
mzvu3,0.0,1,1
mzvug,0.0,1,1
mzvvm,0.0,1,1
mzvy2,0.0,1,1
mzvz5,0.0,1,1
mzvz9,0.0,1,1
mzyjb,0.0,1,1
mzypj,0.0,1,1
mzyrb,0.0,1,1
mzzzj,0.0,1,1
mzzzp,0.0,1,1
qp9zt,0.0,1,1
qpbgf,0.0,1,1
qpbgq,0.0,1,1
qpbgv,0.0,1,1
qpbgx,0.0,1,1
qpbmb,0.0,1,1
qpbmr,0.0,1,1
qpbms,0.0,1,1
qpbn7,0.0,1,1
qpbnc,0.0,1,1
qpbnd,0.0,1,1
qpbnr,0.0,1,1
qpbq1,0.0,1,1
qpbse,0.0,1,1
qpbsv,0.0,1,1
qpbu0,0.0,1,1
qpbu2,0.0,1,1
qpc3r,0.0,1,1
qpc3s,0.0,1,1
qpc4q,0.0,1,1
qpc4s,0.0,1,1
qpc4y,0.0,1,1
qpc55,0.0,1,1
qpc6h,0.0,1,1
qpc8r,0.0,1,1
qpc91,0.0,1,1
qpc98,0.0,1,1
qpc9j,0.0,1,1
qpcb1,0.0,1,1
qpcb9,0.0,1,1
qpcbk,0.0,1,1
qpdmv,0.0,1,1
qpdnw,0.0,1,1
qpdp5,0.0,1,1
qpdpc,0.0,1,1
qpdpp,0.0,1,1
qpdq5,0.0,1,1
qpdqe,0.0,1,1
qpdsy,0.0,1,1
qpdt8,0.0,1,1
qpdtc,0.0,1,1
qpdtr,0.0,1,1
qpdu6,0.0,1,1
qpduj,0.0,1,1
qpdv1,0.0,1,1
qpe58,0.0,1,1
qpe5g,0.0,1,1
qpe5h,0.0,1,1
qpe5u,0.0,1,1
qpe67,0.0,1,1
qpe68,0.0,1,1
qpe6w,0.0,1,1
qpe73,0.0,1,1
qpe97,0.0,1,1
qpe99,0.0,1,1
qpe9v,0.0,1,1
qpebb,0.0,1,1
qpebk,0.0,1,1
qpebp,0.0,1,1
qpeby,0.0,1,1
qpeck,0.0,1,1
qped5,0.0,1,1
qpkpc,0.0,1,1
qpkpj,0.0,1,1
qpkqd,0.0,1,1
qpkqq,0.0,1,1
qpkre,0.0,1,1
qpkrm,0.0,1,1
qpktd,0.0,1,1
qpktm,0.0,1,1
qpkuf,0.0,1,1
qpkvc,15.0,1,1
qpkvq,0.0,1,1
qpkwd,0.0,1,1
qpkwm,15.0,1,1
qpmh0,0.0,1,1
qpmhf,0.0,1,1
qpmhw,0.0,1,1
qprye,0.0,1,1
qpryj,0.0,1,1
qprzb,0.0,1,1
qps0d,0.0,1,1
qps0p,0.0,1,1
qpvk6,0.0,1,1
qpvkh,0.0,1,1
qpvnp,0.0,1,1
qpvpj,0.0,1,1
qpvps,0.0,1,1
qpvs5,0.0,1,1
qpvsp,0.0,1,1
qpvu5,0.0,1,1
qpx9j,0.0,1,1
qpxdc,0.0,1,1
qpxm6,0.0,1,1
qpxq3,0.0,1,1
qpxr3,0.0,1,1
qpye7,0.0,1,1
qpye8,0.0,1,1
qpyfy,15.0,1,1
qpygh,15.0,1,1
qpz2c,0.0,1,1
qpz4s,15.0,1,1
qpz63,15.0,1,1
qpz65,15.0,9,1
qpz6h,0.0,1,1
qpz6k,15.0,27,1
qr25h,0.0,1,1
qr2h3,0.0,1,1
qr7rc,0.0,1,1
qr7tx,0.0,1,1
qr7u7,0.0,1,1
qr7uf,0.0,1,1
qr7uq,0.0,1,1
qr7vp,0.0,1,1
qr7x0,0.0,1,1
qrcg6,1.0,9,1
qrcg7,15.0,6,1
qrcgm,0.0,1,1
qrcgp,0.0,1,1
qrcvq,0.0,1,1
qrcym,15.0,1,1
qrcyn,0.0,1,1
qrczv,0.0,1,1
qrdex,0.0,1,1
qrdg3,0.0,1,1
qrdsv,0.0,1,1
qrdxd,0.0,1,1
qrext,0.0,1,1
qreyg,15.0,1,1
qreyq,0.0,1,1
qreyy,0.0,1,1
qreyz,0.0,1,1
qrezh,0.0,1,1
qrezn,0.0,1,1
qrezs,15.0,1,1
qrf3t,0.0,1,1
qrf4g,0.0,1,1
qrf5h,0.0,1,1
qrf61,0.0,1,1
qrf6d,0.0,1,1
qrf6f,0.0,1,1
qrf7c,0.0,1,1
qrf7f,0.0,1,1
qrf7n,0.0,1,1
qrf7p,0.0,1,1
qrf81,0.0,1,1
qrfd2,0.0,1,1
qrfd7,0.0,1,1
qrfdv,0.0,1,1
qrfdw,0.0,1,1
qrff4,0.0,1,1
qrff5,0.0,1,1
qrffj,0.0,1,1
qrfu0,0.0,1,1
qrfuf,15.0,1,1
qrfxp,8.0,1,1
qrfyn,15.0,1,1
qrg1b,0.0,1,1
qrg1m,0.0,1,1
qrg1u,0.0,2,1
qrg1x,0.0,1,1
qrg32,0.0,1,1
qrg6j,0.0,1,1
qrg76,15.0,1,1
qrg7p,0.0,1,1
qrg8r,15.0,1,1
qrg93,15.0,1,1
qrg9n,0.0,1,1
qrg9u,15.0,1,1
qrgb0,0.0,1,1
qrgd5,0.0,1,1
qrgfx,15.0,1,1
qrgfz,0.0,1,1
qrggg,15.0,1,1
qrggj,15.0,1,1
qrggn,0.0,1,1
qrggr,0.0,1,1
qrggy,0.0,1,1
qrggz,15.0,1,1
qrghz,15.0,1,1
qrgk7,0.0,1,1
qrgkf,0.0,1,1
qrgkh,0.0,1,1
qrgm9,15.0,1,1
qrgnb,15.0,1,1
qrgns,0.0,1,1
qrgny,15.0,1,1
qrgp5,0.0,1,1
qrgpd,15.0,1,1
qrgpg,0.0,1,1
qrgrr,15.0,1,1
qrgrt,0.0,1,1
qrgrw,15.0,2,1
qrgrx,15.0,1,1
qrgrz,15.0,1,1
qrgtn,15.0,1,1
qrgtp,15.0,1,1
qrgtr,15.0,1,1
qrgtt,15.0,2,1
qrgty,15.0,1,1
qrgtz,0.0,1,1
qrgu4,0.0,1,1
qrgu8,15.0,1,1
qrgub,15.0,1,1
qrguf,0.0,1,1
qrgug,0.0,1,1
qrgum,0.0,2,1
qrguu,0.0,1,1
qrguv,0.0,2,1
qrgux,15.0,1,1
qrguz,0.0,1,1
qrgvc,15.0,1,1
qrgvg,0.0,5,1
qrgvh,0.0,1,1
qrgvr,0.0,2,1
qrgvx,0.0,2,1
qrgw6,15.0,1,1
qrgw7,15.0,1,1
qrgw9,0.0,1,1
qrgwc,15.0,1,1
qrgwe,15.0,2,1
qrgwf,15.0,1,1
qrgwj,15.0,1,1
qrgwm,0.0,1,1
qrgwq,15.0,1,1
qrgx4,15.0,1,1
qrgxj,15.0,1,1
qrgxz,0.0,2,1
qrgy3,15.0,1,1
qrgy4,15.0,1,1
qrgy5,0.0,2,1
qrgy6,0.0,3,1
qrgyc,0.0,1,1
qrgyd,0.0,2,1
qrgyj,15.0,1,1
qrgym,15.0,1,1
qrgyr,0.0,1,1
qrgyx,0.0,1,1
qrgz2,0.0,1,1
qrgz4,15.0,2,1
qrgz6,15.0,1,1
qrgz8,0.0,2,1
qrgz9,15.0,1,1
qrgzb,0.0,2,1
qrgzd,15.0,1,1
qrgze,15.0,1,1
qrgzj,15.0,1,1
qrgzq,0.0,1,1
qrgzw,0.0,1,1
qrgzy,0.0,2,1
qrk5r,0.0,1,1
qrk7b,0.0,2,1
qrkk0,0.0,2,1
qrkk8,0.0,1,1
qrkkg,0.0,2,1
qrkkh,0.0,1,1
qrkkj,0.0,1,1
qrkkk,0.0,1,1
qrkkn,0.0,1,1
qrkks,0.0,3,1
qrkku,0.0,4,1
qrkm1,0.0,3,1
qrkm5,0.0,4,1
qrkm6,0.0,3,1
qrkm7,0.0,1,1
qrkm9,0.0,5,1
qrkmc,0.0,10,1
qrkmd,0.0,3,1
qrkmh,0.0,1,1
qrkq1,0.0,2,1
qrkq3,0.0,4,1
qrkq9,0.0,4,1
qrkqc,0.0,3,1
qrkr1,0.0,6,1
qrkr3,0.0,4,1
qrkr9,0.0,2,1
qrkrb,0.0,4,1
qrkrc,0.0,1,1
qrs0p,0.0,1,1
qrs0r,0.0,2,1
qrs0w,0.0,1,1
qrs0x,0.0,4,1
qrs0z,0.0,3,1
qrs1n,0.0,1,1
qrs1p,0.0,2,1
qrs1q,0.0,7,1
qrs1r,0.0,1,1
qrs1w,0.0,2,1
qrs1x,15.0,1,1
qrs1y,0.0,1,1
qrs1z,0.0,1,1
qrs20,0.0,3,1
qrs22,0.0,2,1
qrs2b,0.0,1,1
qrs4n,0.0,5,1
qrs4q,0.0,3,1
qrs4r,0.0,1,1
qrs4w,0.0,2,1
qrs4x,0.0,1,1
qrs4y,0.0,1,1
qrs4z,0.0,3,1
qrs5j,0.0,2,1
qrs5m,0.0,1,1
qrs5p,0.0,2,1
qrs5r,0.0,2,1
qrs5t,0.0,1,1
qrs5w,0.0,3,1
qrs5y,15.0,2,1
qrs5z,0.0,2,1
qrs78,15.0,1,1
qrshm,0.0,1,1
qrshp,0.0,2,1
qrshq,0.0,1,1
qrshr,0.0,1,1
qrshs,0.0,1,1
qrsht,0.0,1,1
qrshu,15.0,1,1
qrshw,0.0,1,1
qrshx,0.0,1,1
qrshy,0.0,2,1
qrshz,0.0,2,1
qrsjc,0.0,1,1
qrsje,0.0,1,1
qrsjh,0.0,1,1
qrsjj,15.0,1,1
qrsjn,0.0,2,1
qrsjp,0.0,3,1
qrsjq,0.0,1,1
qrsjr,0.0,3,1
qrsjt,15.0,1,1
qrsju,15.0,1,1
qrsjx,0.0,1,1
qrsjy,0.0,5,1
qrsk8,0.0,1,1
qrskc,15.0,1,1
qrsmb,0.0,1,1
qrsn8,15.0,2,1
qrsne,0.0,1,1
qrsng,15.0,1,1
qrsnj,0.0,1,1
qrsnm,0.0,1,1
qrsnn,0.0,5,1
qrsnq,0.0,2,1
qrsnt,0.0,1,1
qrsnv,0.0,3,1
qrsnw,0.0,2,1
qrsp7,15.0,2,1
qrspe,0.0,1,1
qrspg,15.0,1,1
qrspj,0.0,1,1
qrspk,0.0,1,1
qrspm,0.0,1,1
qrsps,0.0,1,1
qrspu,0.0,1,1
qrsq8,15.0,1,1
qrsqe,15.0,1,1
qrsr3,4.0,1,1
qrsrg,15.0,1,1
qrsrh,15.0,1,1
qrsrv,15.0,1,1
qru05,0.0,1,1
qru06,0.0,1,1
qru07,0.0,2,1
qru0e,0.0,2,1
qru0f,15.0,1,1
qru0g,0.0,4,1
qru0h,0.0,2,1
qru0k,0.0,1,1
qru11,15.0,1,1
qru13,0.0,1,1
qru15,0.0,2,1
qru16,0.0,1,1
qru17,0.0,1,1
qru1d,0.0,6,1
qru1f,0.0,1,1
qru2e,15.0,1,1
qru30,0.0,1,1
qru35,15.0,1,1
qru3h,15.0,1,1
qru3p,15.0,1,1
qru3s,15.0,2,1
qru41,0.0,1,1
qru42,15.0,1,1
qru43,0.0,3,1
qru46,0.0,1,1
qru49,0.0,1,1
qru4b,0.0,1,1
qru4c,0.0,1,1
qru4f,0.0,1,1
qru4v,15.0,1,1
qru4x,15.0,1,1
qru4z,15.0,1,1
qru50,0.0,2,1
qru51,0.0,1,1
qru53,0.0,1,1
qru59,0.0,1,1
qru5f,15.0,1,1
qru5q,0.0,1,1
qru5v,0.0,1,1
qru68,15.0,1,1
qru6c,0.0,1,1
qru6d,0.0,1,1
qru6h,15.0,1,1
qru6p,15.0,1,1
qru6t,15.0,1,1
qru6u,15.0,1,1
qru70,0.0,1,1
qru72,15.0,1,1
qru74,15.0,1,1
qru76,15.0,1,1
qru7b,0.0,1,1
qru88,15.0,1,1
qru8u,0.0,1,1
qrue0,15.0,1,1
qrue3,15.0,1,1
qruh0,0.0,1,1
qruh3,0.0,1,1
qruhb,0.0,2,1
qruhd,15.0,1,1
qruhe,15.0,1,1
qruhq,0.0,1,1
